model,type,encoding,epsilon,attack,accuracy,f1,roc_auc,clean_acc,adv_acc,qubits,depth,shots,backend,seed,wall_clock_s
VQC-amplitude-noisy,quantum,amplitude,0.0,pgd,0.7166666666666667,0.7166666666666667,0.8627946127946128,0.7166666666666667,0.7166666666666667,8.0,2.0,,default.mixed,0,
VQC-amplitude,quantum,amplitude,0.02,pgd,0.6416666666666667,0.6614173228346457,0.5976430976430976,0.7166666666666667,0.6416666666666667,8.0,2.0,,default.qubit,0,
VQC-amplitude-noisy,quantum,amplitude,0.02,pgd,0.6583333333333333,0.6666666666666666,0.5976430976430976,0.7166666666666667,0.6583333333333333,8.0,2.0,,default.mixed,0,
VQC-amplitude,quantum,amplitude,0.05,pgd,0.2833333333333333,0.44155844155844154,0.4177890011223344,0.7166666666666667,0.2833333333333333,8.0,2.0,,default.qubit,0,
VQC-amplitude-noisy,quantum,amplitude,0.05,pgd,0.275,0.43137254901960786,0.4177890011223344,0.7166666666666667,0.275,8.0,2.0,,default.mixed,0,
VQC-amplitude,quantum,amplitude,0.1,pgd,0.24166666666666667,0.38926174496644295,0.15628507295173963,0.7166666666666667,0.24166666666666667,8.0,2.0,,default.qubit,0,
VQC-amplitude-noisy,quantum,amplitude,0.1,pgd,0.24166666666666667,0.38926174496644295,0.15628507295173963,0.7166666666666667,0.24166666666666667,8.0,2.0,,default.mixed,0,
VQC-amplitude,quantum,amplitude,0.15,pgd,0.125,0.2222222222222222,0.0,0.7166666666666667,0.125,8.0,2.0,,default.qubit,0,
VQC-amplitude-noisy,quantum,amplitude,0.15,pgd,0.11666666666666667,0.208955223880597,0.0,0.7166666666666667,0.11666666666666667,8.0,2.0,,default.mixed,0,
VQC-amplitude,quantum,amplitude,0.2,pgd,0.08333333333333333,0.15384615384615385,0.0,0.7166666666666667,0.08333333333333333,8.0,2.0,,default.qubit,0,
VQC-amplitude-noisy,quantum,amplitude,0.2,pgd,0.08333333333333333,0.15384615384615385,0.0,0.7166666666666667,0.08333333333333333,8.0,2.0,,default.mixed,0,
